Company,Date,Open,High,Low,Close,Change,% Change,Volume Traded,Value Traded (SAR)
Saudi Aramco Base Oil Co.,1/1/2023,93.3,94.9,93.3,93.9,0.9,0.97,"1,807,321","170,004,888.10"
Saudi Aramco Base Oil Co.,1/2/2023,93.9,95.8,93.4,95.8,1.9,2.02,"3,485,676","330,000,662.70"
Saudi Aramco Base Oil Co.,1/3/2023,95.8,96,94.6,94.7,-1.1,-1.15,"2,286,202","217,815,144.50"
Saudi Aramco Base Oil Co.,1/4/2023,94.7,95.2,94,94.2,-0.5,-0.53,"1,400,648","132,464,934.80"
Saudi Aramco Base Oil Co.,1/5/2023,94.1,95.6,94.1,95.4,1.2,1.27,"1,416,881","134,523,418.10"
Saudi Aramco Base Oil Co.,1/8/2023,95.8,98,95.5,97.9,2.5,2.62,"3,119,164","300,972,295.20"
Saudi Aramco Base Oil Co.,1/9/2023,98,98.1,96.8,97,-0.9,-0.92,"1,251,641","121,786,095.00"
Saudi Aramco Base Oil Co.,1/10/2023,97,98.6,96.8,97.8,0.8,0.82,"1,703,164","166,511,945.20"
Saudi Aramco Base Oil Co.,1/11/2023,98,98.4,97.3,97.4,-0.4,-0.41,"822,898","80,375,597.20"
Saudi Aramco Base Oil Co.,1/12/2023,97.6,98,97.1,97.8,0.4,0.41,"807,200","78,768,049.50"
Saudi Aramco Base Oil Co.,1/15/2023,98,99,97.8,99,1.2,1.23,"2,157,681","212,791,121.60"
Saudi Aramco Base Oil Co.,1/16/2023,99,99.4,97.9,98,-1,-1.01,"1,375,986","135,810,317.30"
Saudi Aramco Base Oil Co.,1/17/2023,98.1,98.4,97.1,98,0,0,"753,060","73,480,487.80"
Saudi Aramco Base Oil Co.,1/18/2023,98,98.5,97.5,97.5,-0.5,-0.51,"756,823","74,151,538.00"
Saudi Aramco Base Oil Co.,1/19/2023,97.4,98,97.1,97.7,0.2,0.21,"497,822","48,605,073.90"
Saudi Aramco Base Oil Co.,1/22/2023,97.9,99.4,97.5,99.1,1.4,1.43,"1,923,177","189,949,461.60"
Saudi Aramco Base Oil Co.,1/23/2023,99.2,99.5,98.5,99.3,0.2,0.2,"1,244,561","123,379,017.90"
Saudi Aramco Base Oil Co.,1/24/2023,99.2,99.5,98.2,98.5,-0.8,-0.81,"1,532,585","151,867,917.30"
Saudi Aramco Base Oil Co.,1/25/2023,98.5,99.4,98.4,98.8,0.3,0.3,"852,480","84,330,109.60"
Saudi Aramco Base Oil Co.,1/26/2023,98.9,99.5,98.7,99,0.2,0.2,"1,157,322","114,910,622.30"
Saudi Aramco Base Oil Co.,1/29/2023,99.3,100.8,99.1,100.4,1.4,1.41,"2,079,526","207,865,983.10"
Saudi Aramco Base Oil Co.,1/30/2023,100.4,100.4,98.9,99.2,-1.2,-1.2,"1,151,419","114,522,678.50"
Saudi Aramco Base Oil Co.,1/31/2023,99.2,99.2,98.6,98.6,-0.6,-0.6,"616,025","60,880,767.40"
Saudi Aramco Base Oil Co.,2/1/2023,98.8,99,98.2,98.6,0,0,"496,164","48,940,742.20"
Saudi Aramco Base Oil Co.,2/2/2023,98.6,99.1,97.1,97.6,-1,-1.01,"927,180","90,745,104.20"
Saudi Aramco Base Oil Co.,2/5/2023,97,97,96,96.4,-1.2,-1.23,"580,326","56,037,516.90"
Saudi Aramco Base Oil Co.,2/6/2023,96.4,99,95.8,98.8,2.4,2.49,"1,048,449","101,998,954.00"
Saudi Aramco Base Oil Co.,2/7/2023,99.2,99.2,97.7,98.5,-0.3,-0.3,"731,450","71,929,551.00"
Saudi Aramco Base Oil Co.,2/8/2023,98.7,99.3,98.4,98.8,0.3,0.3,"437,895","43,279,295.30"
Saudi Aramco Base Oil Co.,2/9/2023,98.7,98.7,97.5,98.3,-0.5,-0.51,"297,511","29,173,960.40"
Saudi Aramco Base Oil Co.,2/12/2023,98,99.3,97.6,99.3,1,1.02,"512,104","50,539,758.20"
Saudi Aramco Base Oil Co.,2/13/2023,99.3,102,99.1,101.4,2.1,2.11,"1,755,189","176,113,901.10"
Saudi Aramco Base Oil Co.,2/14/2023,101.8,102,100,100.4,-1,-0.99,"683,436","69,062,108.40"
Saudi Aramco Base Oil Co.,2/15/2023,100,104,100,104,3.6,3.59,"1,861,901","190,646,121.40"
Saudi Aramco Base Oil Co.,2/16/2023,103.8,107,102.8,106.6,2.6,2.5,"2,274,152","239,579,299.80"
Saudi Aramco Base Oil Co.,2/19/2023,109,112.4,106.4,107,0.4,0.38,"4,376,308","477,608,516.00"
Saudi Aramco Base Oil Co.,2/20/2023,107.6,108.8,105.2,105.8,-1.2,-1.12,"2,021,762","216,381,547.80"
