Date,Open,High,Low,Close,Change,% Change,Volume Traded,Value Traded (SAR),No. Of Trades
2023-12-31,257,259.8,256.4,257,0,0,"106,903","27,507,050.20","1,670"
2023-12-28,253,258.6,250.2,257,5,1.98,"553,740","141,966,122.80","4,335"
2023-12-27,255,256,250.2,252,-2,-0.79,"230,319","58,093,464.40","3,213"
2023-12-26,254,258,252.6,254,1,0.4,"295,621","75,798,217.40","3,027"
2023-12-25,253.4,254.6,252.2,253,0,0,"94,502","23,923,602.00","1,448"
2023-12-24,253,254.8,252,253,0,0,"50,572","12,803,407.20","1,026"
2023-12-21,253,255,251.2,253,0,0,"113,813","28,753,398.80","1,679"
2023-12-20,256,256,251.2,253,-2.6,-1.02,"106,156","26,792,600.60","1,927"
2023-12-19,253,257.4,250.4,255.6,2.6,1.03,"214,491","54,619,250.60","2,682"
2023-12-18,258,261.8,251,253,-5,-1.94,"335,983","85,889,543.40","4,567"
2023-12-17,255,261.2,253.8,258,3,1.18,"242,740","62,571,398.80","3,138"
2023-12-14,255,255,248.8,255,2.4,0.95,"359,891","91,029,443.60","3,868"
2023-12-13,249.6,255,245.6,252.6,3.6,1.45,"299,199","75,033,085.20","5,143"
2023-12-12,242.2,254.4,242,249,7,2.89,"667,469","166,106,017.00","7,516"
2023-12-11,233.8,243.6,232,242,8.2,3.51,"479,806","115,138,471.80","6,796"
2023-12-10,233,236.4,231,233.8,-0.6,-0.26,"220,910","51,675,134.20","3,014"
2023-12-07,226,236.2,224.6,234.4,9.8,4.36,"671,650","155,345,278.80","6,389"
2023-12-06,223.8,226.6,222.8,224.6,-0.2,-0.09,"185,060","41,646,731.60","2,434"
2023-12-05,223.2,225.6,221.4,224.8,1.4,0.63,"153,561","34,364,156.20","2,835"
2023-12-04,227,227.6,223.4,223.4,-3.6,-1.59,"145,723","32,802,627.60","1,909"
2023-12-03,228.8,228.8,225.2,227,-2,-0.87,"111,198","25,208,297.40","1,606"
