Date,Open,High,Low,Close,Change,% Change,Volume Traded,Value Traded (SAR),No. Of Trades
2023-12-31,87,87,86.5,86.5,-0.5,-0.57,"2,056,320","178,286,579.00","7,536"
2023-12-28,86.6,87,85.9,87,0.5,0.58,"3,010,669","260,301,518.20","8,983"
2023-12-27,87,87.5,85.6,86.5,-0.1,-0.12,"4,948,041","427,815,960.90","12,094"
2023-12-26,86,88,86,86.6,0.8,0.93,"5,660,909","493,592,265.60","13,295"
2023-12-25,83.4,86.1,83.4,85.8,2.2,2.63,"5,917,102","503,395,941.80","13,065"
2023-12-24,82.6,83.8,82.5,83.6,1.1,1.33,"2,215,969","184,520,683.80","5,324"
2023-12-21,83,83.1,81.9,82.5,-1.1,-1.32,"2,705,575","223,457,511.50","7,982"
2023-12-20,83.7,83.8,82.8,83.6,-0.1,-0.12,"2,977,845","247,857,647.70","6,226"
2023-12-19,82.8,83.8,82.8,83.7,0.1,0.12,"1,847,157","154,073,483.30","6,325"
2023-12-18,83.1,84.3,81.6,83.6,0.5,0.6,"6,033,113","498,881,646.50","13,918"
2023-12-17,83.5,84.4,82.5,83.1,-0.1,-0.12,"4,458,027","371,539,758.60","12,837"
2023-12-14,81,83.3,81,83.2,2.9,3.61,"10,637,755","880,671,775.20","19,824"
2023-12-13,80.1,80.8,79.8,80.3,0.2,0.25,"3,066,116","246,165,888.80","7,747"
2023-12-12,80.2,81.2,79.7,80.1,-0.1,-0.12,"5,354,380","430,759,518.00","13,214"
2023-12-11,78.4,81.2,78,80.2,1.7,2.17,"8,857,372","709,795,833.20","18,952"
2023-12-10,76.2,78.6,76.1,78.5,2.1,2.75,"6,187,358","480,909,572.90","14,568"
2023-12-07,75.3,76.7,74.9,76.4,1.1,1.46,"4,387,310","332,072,634.40","8,450"
2023-12-06,75.3,76,75.1,75.3,0,0,"4,651,871","350,983,324.70","6,872"
2023-12-05,76.9,77,75,75.3,-1.5,-1.95,"4,482,707","339,685,686.50","12,685"
2023-12-04,76.8,77,76.3,76.8,0,0,"2,851,502","218,891,427.00","8,518"
2023-12-03,76.5,76.9,76.4,76.8,0.4,0.52,"2,049,038","157,125,691.90","5,701"
