Date,Open,High,Low,Close,Change,% Change,Volume Traded,Value Traded (SAR),No. Of Trades
2023-12-31,141.6,146.8,141,145.2,3.6,2.54,"788,449","114,131,552.00","4,130"
2023-12-28,141.8,141.8,140.4,141.6,-0.2,-0.14,"240,203","33,881,983.20","1,990"
2023-12-27,141.8,142.8,140,141.8,0.2,0.14,"438,915","62,013,376.20","2,752"
2023-12-26,141,143.4,140.8,141.6,0.8,0.57,"627,577","89,320,650.60","3,807"
2023-12-25,140.6,141.6,140,140.8,0.2,0.14,"239,971","33,829,079.00","1,696"
2023-12-24,140.4,141.4,140,140.6,-0.2,-0.14,"160,767","22,623,524.40","1,265"
2023-12-21,141.8,142.2,140,140.8,-1.4,-0.98,"241,655","34,052,633.00","1,684"
2023-12-20,140.4,142.2,139.8,142.2,2,1.43,"391,021","55,167,887.40","2,449"
2023-12-19,139.2,140.2,138.6,140.2,1.4,1.01,"264,624","36,930,627.00","2,057"
2023-12-18,139,139.8,138.4,138.8,-0.6,-0.43,"164,764","22,876,543.60","1,520"
2023-12-17,140.6,141,139,139.4,-1,-0.71,"181,028","25,312,980.80","1,478"
2023-12-14,139,140.8,138.6,140.4,2.2,1.59,"391,974","54,877,963.00","2,436"
2023-12-13,139.8,139.8,137.4,138.2,-0.6,-0.43,"221,917","30,691,310.20","1,742"
2023-12-12,138.8,141.8,138,138.8,0,0,"811,316","113,729,796.80","5,055"
2023-12-11,136,138.8,135.4,138.8,2.8,2.06,"468,444","64,502,668.40","2,818"
2023-12-10,136,136.2,135,136,-0.2,-0.15,"172,225","23,369,390.40","1,480"
2023-12-07,136.8,137,134.8,136.2,-0.6,-0.44,"483,628","65,653,055.20","3,085"
2023-12-06,137.2,137.8,136.6,136.8,-0.4,-0.29,"136,590","18,727,516.40","1,249"
2023-12-05,137.8,138.2,137.2,137.2,-0.6,-0.44,"147,064","20,235,118.60","1,428"
2023-12-04,138.4,138.8,137.2,137.8,-0.6,-0.43,"194,704","26,834,233.20","1,509"
2023-12-03,136.2,138.8,136.2,138.4,1.2,0.87,"373,910","51,627,791.40","2,393"
