Date,Open,High,Low,Close,Change,% Change,Volume Traded,Value Traded (SAR),No. Of Trades
2023-12-31,40.25,40.4,39.95,40.4,-0.05,-0.12,"2,579,104","103,678,420.30","5,929"
2023-12-28,40.2,40.5,40.05,40.45,0.2,0.5,"3,458,497","139,503,255.50","7,231"
2023-12-27,40.25,40.4,39.95,40.25,0,0,"3,492,122","140,110,388.80","8,805"
2023-12-26,39.6,40.25,39.6,40.25,0.65,1.64,"4,675,086","186,802,052.05","8,714"
2023-12-25,39.3,39.7,39.2,39.6,0.3,0.76,"3,043,664","120,329,612.50","5,523"
2023-12-24,39.1,39.4,39.1,39.3,0.1,0.26,"978,669","38,399,950.45","3,311"
2023-12-21,39.25,39.25,38.9,39.2,-0.1,-0.25,"2,402,967","93,855,040.45","5,326"
2023-12-20,39.35,39.4,39.1,39.3,-0.05,-0.13,"1,964,239","77,124,313.60","4,085"
2023-12-19,39.6,39.65,39.1,39.35,-0.25,-0.63,"2,755,855","108,397,721.10","5,495"
2023-12-18,39.6,39.65,39.05,39.6,0,0,"3,268,985","128,608,656.00","6,752"
2023-12-17,39.7,39.7,39.25,39.6,0.35,0.89,"2,396,305","94,700,047.00","5,192"
2023-12-14,39.15,39.3,38.9,39.25,0.25,0.64,"4,833,918","189,215,326.50","7,019"
2023-12-13,39.1,39.2,38.65,39,-0.05,-0.13,"2,841,931","110,323,305.40","7,867"
2023-12-12,39.5,39.65,38.85,39.05,-0.95,-2.38,"6,271,133","245,036,398.70","12,682"
2023-12-11,38.4,40,38.35,40,1.6,4.17,"6,978,852","274,055,798.00","14,151"
2023-12-10,38.2,38.55,38.15,38.4,0.25,0.66,"3,932,704","151,016,896.40","6,380"
2023-12-07,38.1,38.2,38,38.15,0.05,0.13,"1,984,963","75,692,852.70","4,714"
2023-12-06,38.15,38.25,38,38.1,-0.15,-0.39,"2,246,404","85,575,480.50","6,645"
2023-12-05,38.2,38.3,38.1,38.25,0.1,0.26,"3,828,758","146,246,957.80","5,523"
2023-12-04,38.35,38.45,38.15,38.15,-0.15,-0.39,"3,237,118","123,802,221.45","7,796"
2023-12-03,38.45,38.45,38.25,38.3,-0.15,-0.39,"1,277,415","48,990,544.65","7,627"
