,Date,Open,High,Low,Close,Change,% Change,Volume Traded,Value Traded (SAR)
0,2023-01-01,93.3,94.9,93.3,93.9,0.9,0.97,1807321,170004888.1
1,2023-01-02,93.9,95.8,93.4,95.8,1.9,2.02,3485676,330000662.7
2,2023-01-03,95.8,96.0,94.6,94.7,-1.1,-1.15,2286202,217815144.5
3,2023-01-04,94.7,95.2,94.0,94.2,-0.5,-0.53,1400648,132464934.8
4,2023-01-05,94.1,95.6,94.1,95.4,1.2,1.27,1416881,134523418.1
5,2023-01-08,95.8,98.0,95.5,97.9,2.5,2.62,3119164,300972295.2
6,2023-01-09,98.0,98.1,96.8,97.0,-0.9,-0.92,1251641,121786095.0
7,2023-01-10,97.0,98.6,96.8,97.8,0.8,0.82,1703164,166511945.2
8,2023-01-11,98.0,98.4,97.3,97.4,-0.4,-0.41,822898,80375597.2
9,2023-01-12,97.6,98.0,97.1,97.8,0.4,0.41,807200,78768049.5
10,2023-01-15,98.0,99.0,97.8,99.0,1.2,1.23,2157681,212791121.6
11,2023-01-16,99.0,99.4,97.9,98.0,-1.0,-1.01,1375986,135810317.3
12,2023-01-17,98.1,98.4,97.1,98.0,0.0,0.0,753060,73480487.8
13,2023-01-18,98.0,98.5,97.5,97.5,-0.5,-0.51,756823,74151538.0
14,2023-01-19,97.4,98.0,97.1,97.7,0.2,0.21,497822,48605073.9
15,2023-01-22,97.9,99.4,97.5,99.1,1.4,1.43,1923177,189949461.6
16,2023-01-23,99.2,99.5,98.5,99.3,0.2,0.2,1244561,123379017.9
17,2023-01-24,99.2,99.5,98.2,98.5,-0.8,-0.81,1532585,151867917.3
18,2023-01-25,98.5,99.4,98.4,98.8,0.3,0.3,852480,84330109.6
19,2023-01-26,98.9,99.5,98.7,99.0,0.2,0.2,1157322,114910622.3
20,2023-01-29,99.3,100.8,99.1,100.4,1.4,1.41,2079526,207865983.1
21,2023-01-30,100.4,100.4,98.9,99.2,-1.2,-1.2,1151419,114522678.5
22,2023-01-31,99.2,99.2,98.6,98.6,-0.6,-0.6,616025,60880767.4
23,2023-02-01,98.8,99.0,98.2,98.6,0.0,0.0,496164,48940742.2
24,2023-02-02,98.6,99.1,97.1,97.6,-1.0,-1.01,927180,90745104.2
25,2023-02-05,97.0,97.0,96.0,96.4,-1.2,-1.23,580326,56037516.9
26,2023-02-06,96.4,99.0,95.8,98.8,2.4,2.49,1048449,101998954.0
27,2023-02-07,99.2,99.2,97.7,98.5,-0.3,-0.3,731450,71929551.0
28,2023-02-08,98.7,99.3,98.4,98.8,0.3,0.3,437895,43279295.3
29,2023-02-09,98.7,98.7,97.5,98.3,-0.5,-0.51,297511,29173960.4
30,2023-02-12,98.0,99.3,97.6,99.3,1.0,1.02,512104,50539758.2
31,2023-02-13,99.3,102.0,99.1,101.4,2.1,2.11,1755189,176113901.1
32,2023-02-14,101.8,102.0,100.0,100.4,-1.0,-0.99,683436,69062108.4
33,2023-02-15,100.0,104.0,100.0,104.0,3.6,3.59,1861901,190646121.4
34,2023-02-16,103.8,107.0,102.8,106.6,2.6,2.5,2274152,239579299.8
35,2023-02-19,109.0,112.4,106.4,107.0,0.4,0.38,4376308,477608516.0
36,2023-02-20,107.6,108.8,105.2,105.8,-1.2,-1.12,2021762,216381547.8
37,2023-02-21,105.4,106.2,104.2,104.8,-1.0,-0.95,1263954,132790869.4
38,2023-02-23,104.6,107.2,104.0,106.4,1.6,1.53,1165393,123638383.6
39,2023-02-26,106.4,108.0,104.6,104.6,-1.8,-1.69,1445501,154032675.6
40,2023-02-27,104.8,106.6,104.6,105.8,1.2,1.15,956256,101005073.4
41,2023-02-28,105.6,106.4,104.6,105.8,0.0,0.0,1107736,116925677.2
42,2023-03-01,106.0,108.6,106.0,107.4,1.6,1.51,1219795,131237947.0
43,2023-03-02,107.6,108.4,106.4,106.6,-0.8,-0.74,668974,71973195.8
44,2023-03-05,106.6,108.6,106.6,107.4,0.8,0.75,919714,98868285.8
45,2023-03-06,107.4,107.6,106.4,106.8,-0.6,-0.56,607806,65071688.4
46,2023-03-07,106.8,107.6,106.4,107.0,0.2,0.19,437059,46733142.2
47,2023-03-08,106.2,111.0,106.0,110.0,3.0,2.8,2404901,261953873.8
48,2023-03-09,110.0,111.0,109.0,109.8,-0.2,-0.18,1034927,113786168.0
49,2023-03-12,109.0,109.6,107.6,107.8,-2.0,-1.82,644619,69959015.8
50,2023-03-13,107.8,109.0,107.2,107.8,0.0,0.0,719164,77708219.4
51,2023-03-14,107.6,107.6,106.4,106.8,-1.0,-0.93,593576,63511886.2
52,2023-03-15,106.8,107.6,104.8,104.8,-2.0,-1.87,705630,74984291.8
53,2023-03-16,104.6,104.8,100.6,101.0,-3.8,-3.63,3068197,314105716.6
54,2023-03-19,101.2,104.2,100.8,103.6,2.6,2.57,1117232,114906275.8
55,2023-03-20,103.0,103.6,102.4,102.8,-0.8,-0.77,581833,59942431.8
56,2023-03-21,103.2,104.8,103.0,104.2,1.4,1.36,563038,58533883.6
57,2023-03-22,104.4,104.8,103.4,104.6,0.4,0.38,654291,68083384.8
58,2023-03-23,104.4,106.8,103.6,106.2,1.6,1.53,832749,87994690.8
59,2023-03-26,108.0,108.6,107.0,108.4,2.2,2.07,706047,76234910.2
60,2023-03-27,108.4,109.6,107.8,108.2,-0.2,-0.18,967145,104935228.8
61,2023-03-28,108.0,108.6,107.2,108.0,-0.2,-0.18,622013,67175997.0
62,2023-03-29,108.0,110.6,107.8,110.0,2.0,1.85,1221194,133588522.0
63,2023-03-30,110.4,113.6,110.4,111.4,1.4,1.27,2142521,241001180.0
64,2023-04-02,112.0,114.0,111.8,113.0,1.6,1.44,793512,89701498.0
65,2023-04-03,113.0,114.0,112.2,114.0,1.0,0.88,835842,94795359.6
66,2023-04-04,114.2,115.4,112.4,114.8,0.8,0.7,1835616,209341334.2
67,2023-04-05,114.8,114.8,113.0,113.6,-1.2,-1.05,992043,112792194.4
68,2023-04-06,113.6,115.8,112.6,114.2,0.6,0.53,1730940,197855527.6
69,2023-04-09,115.0,115.2,114.0,114.4,0.2,0.18,563211,64537063.2
70,2023-04-10,114.4,115.2,113.6,114.2,-0.2,-0.17,598360,68303390.6
71,2023-04-11,114.0,114.6,113.2,114.0,-0.2,-0.18,613011,69745028.6
72,2023-04-12,114.0,117.4,114.0,117.0,3.0,2.63,1355443,158101071.2
73,2023-04-13,117.0,117.8,115.8,117.0,0.0,0.0,630349,73718034.4
74,2023-04-16,117.0,117.6,116.4,117.4,0.4,0.34,357983,41851246.8
75,2023-04-17,117.2,118.4,117.0,118.0,0.6,0.51,722824,85142048.6
76,2023-04-25,118.0,118.8,116.6,118.4,0.4,0.34,769560,90757097.6
77,2023-04-26,118.0,118.4,117.0,118.2,-0.2,-0.17,686083,80764681.2
78,2023-04-27,117.8,117.8,115.8,116.4,-1.8,-1.52,1046145,121934842.8
79,2023-04-30,117.0,117.4,115.0,116.0,-0.4,-0.34,1418844,165291289.8
80,2023-05-01,111.2,115.0,110.8,114.8,-1.2,-1.03,1358550,153868808.4
81,2023-05-02,114.8,114.8,113.0,114.2,-0.6,-0.52,770877,87797724.0
82,2023-05-03,113.0,115.8,112.6,114.8,0.6,0.53,934238,106769493.8
83,2023-05-04,114.4,117.2,113.4,116.6,1.8,1.57,1848594,212739035.2
